Timestamp,Your name?,What is the name of your event?,Where will your mapping party be held?,Please insert a link to your venue on openstreetmap.org,Please insert a link where people can sign up,What date is your event taking place? (as YYYY-MM-DD),What time does your event start?,What time does your event end?,Country?,Is this is part of OSM GeoWeek 2020? (Nov 15-21),lat,long
uniqueID-34,,Missing Maps Portland,"Coco Donuts, portland, or, United States",https://www.openstreetmap.org/node/6127555932#map=19/45.48769/-122.65024,https://www.eventbrite.com/e/missing-maps-mapathon-tickets-98127153959,2020-03-29,12:00,2:00,[us],,45.48769,-122.65024
uniqueID-35,,Online - Reading Missing Maps,"work.life, Reading UK, United Kingdom",https://www.openstreetmap.org/?mlat=51.45495&mlon=-0.96626#map=19/51.45495/-0.96626,https://www.eventbrite.com/e/missing-maps-reading-march-2020-mapathon-tickets-88495350977/,2020-03-24,18:30,21:00,[gb],,51.45495,-0.96626
uniqueID-36,,Bukavu_Mapathon_1.0,"La difference's office, Bukavu, Avenue Fizi, Congo, Democratic Republic of",https://www.openstreetmap.org/node/7279801885,https://www.eventbrite.com/e/bukavu-mapathon10-tickets-99021645407,2020-03-24,9:00,16:00,[cd],,-2.5017179,28.8690485
uniqueID-37,,Mapathon Missing Maps CartONG,"Le Tuba, Lyon, France",https://www.openstreetmap.org/node/3837100089,https://www.eventbrite.ca/e/billets-mapathon-missing-maps-a-lyon-letuba-84916554701,2020-03-17,18:30,21:30,[fr],,45.7637971,4.8538376
uniqueID-38,,Mapathon Missing Maps Grenoble,"La Turbine.coop, Grenoble, France",https://www.openstreetmap.org/search?query=la%20turbine.coop#map=19/45.18764/5.70506,https://www.eventbrite.ca/e/billets-mapathon-missing-maps-a-grenoble-la-turbinecoop-86311886175,2020-03-14,18:30,21:30,[fr],,45.18764,5.70506
uniqueID-39,,Mapató Creu Roja: Burundi. Ets fonamental en aquesta missió!,"Seu de la Creu Roja. Carrer Joan d'Àustria 120, Barcelona, Madrid, Spain",https://www.openstreetmap.org/way/269445240,https://forms.office.com/Pages/ResponsePage.aspx?id=-QiRdbPNBEu5dj6bPZrQvshrXTcCfwxJlc1ZfrxP0KZUNEVNSjk0WkxFWk1STVRMVThLOFhKRFlGNC4u,2020-03-13,11:00,14:00,[es],,41.3961,2.18796
uniqueID-40,,Mapatón Cruz Roja: Burundi. ¡Eres fundamental en esta misión!,"Sede de Cruz Roja c/ Joan d'Àustria 120, Barcelona, MADRID, Spain",https://www.openstreetmap.org/way/269445240#map=19/41.39612/2.18795,https://forms.office.com/Pages/ResponsePage.aspx?id=-QiRdbPNBEu5dj6bPZrQvpp-VGQMtZ5IouvgnH7HZHxUOUk5NFpVVzNKM1U1V01XS05QSDVLWlZCVS4u,2020-03-13,17:00,20:00,[es],,41.39612,2.18795
uniqueID-41,,First Missing Maps Mapathon at PSK,"Úrad Prešovského samosprávneho kraja , Prešov, Slovakia",https://www.openstreetmap.org/node/3439823801,https://www.eventbrite.com/e/first-missing-maps-mapathon-at-psk-tickets-98234876159?utm-medium=discovery&utm-campaign=social&utm-content=attendeeshare&aff=escb&utm-source=cp&utm-term=listing,2020-03-12,13:00,16:00,[sk],,49.00187,21.24179
uniqueID-42,,Mapathon Missing Maps CartONG,"o79, Chambéry, France",https://www.openstreetmap.org/node/6802042209,https://www.eventbrite.ca/e/billets-mapathon-missing-maps-a-chambery-o79-84716283685,2020-03-11,18:30,21:30,[fr],,45.5701921,5.9193921
uniqueID-43,,Bukavu_Mapathon,"ISDR-Bukavu, Bukavu(South-Kivu), Congo, Democratic Republic of",https://www.openstreetmap.org/#map=19/-2.50111/28.84988,https://www.eventbrite.com/e/bukavu-mapathon-tickets-98401247781,2020-03-11,13:00,16:30,[cd],,-2.50111,28.84988
uniqueID-44,,HOT Community Webinar: Women Leading in OSM,"Zoom, Worldwide, United States",https://zoom.us/webinar/register/WN_r4o0mVp7QRuilAwdfN4SQQ,https://zoom.us/webinar/register/WN_r4o0mVp7QRuilAwdfN4SQQ,2020-03-10,1:00,2:00,[us],,,
uniqueID-45,,Mapathon 2.0,"50 George Square, Room 1.02, Edinburgh, United Kingdom",https://www.openstreetmap.org/way/5325199,https://www.facebook.com/events/655027438567896/,2020-03-04,18:00,21:00,[gb],,55.94374,-3.18701
uniqueID-46,,Mapathon Radboud Nijmegen,"Radboud Universiteit, Nijmegen, The Netherlands",https://www.openstreetmap.org/way/4747311,https://www.rodekruis.nl/studentendesk-nijmegen/contact/,2020-03-03,17:30,21:00,[nl],,51.8215,5.8632
